slot_id,dia,inicio,fim
1,SEG,07:30,08:20
2,SEG,08:20,09:10
3,SEG,10:20,11:10
4,SEG,11:10,12:00
5,SEG,13:00,13:50
6,SEG,13:50,14:40
7,SEG,14:40,15:30
8,SEG,15:50,16:40
9,SEG,16:40,17:30

10,TER,07:30,08:20
11,TER,08:20,09:10
12,TER,10:20,11:10
13,TER,11:10,12:00
14,TER,13:00,13:50
15,TER,13:50,14:40
16,TER,14:40,15:30
17,TER,15:50,16:40
18,TER,16:40,17:30

19,QUA,07:30,08:20
20,QUA,08:20,09:10
21,QUA,10:20,11:10
22,QUA,11:10,12:00
23,QUA,13:00,13:50
24,QUA,13:50,14:40
25,QUA,14:40,15:30
26,QUA,15:50,16:40
27,QUA,16:40,17:30

28,QUI,07:30,08:20
29,QUI,08:20,09:10
30,QUI,10:20,11:10
31,QUI,11:10,12:00
32,QUI,13:00,13:50
33,QUI,13:50,14:40
34,QUI,14:40,15:30
35,QUI,15:50,16:40
36,QUI,16:40,17:30

37,SEX,07:30,08:20
38,SEX,08:20,09:10
39,SEX,10:20,11:10
40,SEX,11:10,12:00
41,SEX,13:00,13:50
42,SEX,13:50,14:40
43,SEX,14:40,15:30
44,SEX,15:50,16:40
45,SEX,16:40,17:30
